name,hours,website,storetype,location,phonenumber,image,mapurl
Abercrombie & Fitch,Monday to Thursday 11AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.abercrombie.com/shop/us,Store,Lower Level Dillard's Wing next to Shoe Palace,(512) 329-8323,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/94.png?yocs=D_NA_,
Aerie,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://aerie.com/,Store,UpperLevelNordstromWingnextto AmericanEagle,(512)328-0892,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/30516.png?yocs=D_NA_,
Aeropostale,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.aeropostale.com/,Store,UpperLevelDillard'sWingnear Forever21,(512)330-9117,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/17.png?yocs=D_NA_,
Aldo,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.aldoshoes.com/,Store,UpperLevelDillard'sWingacross fromVictoria'sSecret,(512)329-6419,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/168.png?yocs=D_NA_,
Altar'd State,Monday to Thursday 11AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.altardstate.com/,Store,LowerLevelNordstromWingacross fromLoft,(512)808-5660,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/22458.png?yocs=D_NA_,
AMC14 Theater,Monday to Thursday 12PM - 10PM***Friday 12PM - 12AM***Saturday to Sunday 11AM - 12AM,https://www.amctheatres.com/movie-theatres/austin/amc-barton-creek-square-14,Cinema,BEntrancebyTheCheesecake Factory,(512)306-1991,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/5430.png?yocs=D_NA_,
American Eagle,Monday to Saturday 11AM - 7PM***Sunday 12PM - 6PM,http://www.ae.com/,Store,UpperLevelNordstromWingnear Hollister,(512)328-0892,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/223.png?yocs=D_NA_,
Andino Artisan Gelato,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,,Restaurant,UpperLeveloutsideoftheFood Court,,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/34147.png?yocs=D_NA_,
Anthropologie,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://click.linksynergy.com/deeplink?id=4GQRQoBz/cQ&mid=39789&murl=https%3A%2F%2Fwww.anthropologie.com%2F&u1=1234,Store,LowerLevelNordstromWingnext toNordstrom,(737)284-1387,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/27835.png?yocs=D_NA_,
Apple,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 11AM - 6PM,https://www.apple.com/retail/bartoncreek/,Store,Lower Level Dillard's Wing across from Chico's,(512)634-0520,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/279.png?yocs=D_NA_,
